sprint,capturedAt,issueNumber,issueUrl,issueTitle,status,assignees
Lab01S03,2026-08-28,49,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/49,Adicionar print do estado final do board ao relatorio,Doing,JoaquimGCVS
Lab01S03,2026-08-28,55,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/55,Adicionar gráficos ao relatório final,Done,gnvr29
Lab01S03,2026-08-28,26,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/26,Revisar análise e visualização RQ05/RQ06/RQ07,Done,VitorCostaVianna
Lab01S03,2026-08-28,51,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/51,"Adicionar ao relatório final menção e explicação para nossas atividades extras (suite de testes, dashboard e ci/cd)",Done,JoaquimGCVS
Lab01S03,2026-08-28,19,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/19,Revisar validação de dados RQ01/RQ02 nos 1.000 repositórios,Done,JoaquimGCVS
Lab01S03,2026-08-28,25,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/25,Revisar análise e visualização RQ03/RQ04,Done,VitorCostaVianna
Lab01S03,2026-08-28,24,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/24,Revisar análise e visualização RQ01/RQ02,Done,VitorCostaVianna
Lab01S03,2026-08-28,21,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/21,Revisar validação de dados RQ05/RQ06/RQ07 nos 1.000 repositórios,Done,VitorCostaVianna
Lab01S03,2026-08-28,20,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/20,Revisar validação de dados RQ03/RQ04 nos 1.000 repositórios,Done,VitorCostaVianna
Lab01S03,2026-08-28,22,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/22,Atualizar board e exportar snapshot da S02,Done,JoaquimGCVS
Lab01S03,2026-08-28,23,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/23,Primeira versão do relatório com hipóteses informais,Done,gnvr29
Lab01S03,2026-08-28,31,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/31,Implementar inteface simples com Streamlit,Done,VitorCostaVianna
Lab01S03,2026-08-28,43,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/43,[Lab01S02] Validação de Dados e Hipóteses: RQ05 a RQ07,Done,gnvr29
Lab01S03,2026-08-28,42,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/42,[Lab01S02] Validação de Dados e Hipóteses: RQ03 e RQ04,Done,gnvr29
Lab01S03,2026-08-28,41,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/41,[Lab01S02] Validação de Dados e Hipóteses: RQ01 e RQ02,Done,gnvr29
Lab01S03,2026-08-28,39,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/39,[Análise Inferencial] Teste de Kruskal-Wallis H: Isolar o top 3 linguagens e testar a significância estatística do engajamento (PRs).,Done,gnvr29
