sprint,capturedAt,issueNumber,issueUrl,issueTitle,status,assignees
Lab01S01,2026-08-14,15,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/15,Implementar script GraphQL que exporte os itens do Project e seu status atual para um arquivo CSV.,Doing,JoaquimGCVS
Lab01S01,2026-08-14,5,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/5,Implementar consulta de métricas RQ03 e RQ04 em GraphQL,Done,gnvr29
Lab01S01,2026-08-14,8,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/8,Validar dados dos RQ03 e RQ04,Done,gnvr29
Lab01S01,2026-08-14,7,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/7,RQ 07 - Agrupar métricas por linguagem de programação,Done,VitorCostaVianna
Lab01S01,2026-08-14,11,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/11,Vallidar dados da RQ07,Done,VitorCostaVianna
Lab01S01,2026-08-14,13,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/13,Otimizar consulta GraphQL para suportar 100 repositórios (erro 502/504 do GitHub),Done,VitorCostaVianna
Lab01S01,2026-08-14,4,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/4,Validar dados das RQ01 e RQ02,Done,JoaquimGCVS
Lab01S01,2026-08-14,6,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/6,"Implementar coleta de métricas RQ05, RQ06",Done,VitorCostaVianna
Lab01S01,2026-08-14,1,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/1,Criar repositório e configurar Kanban,Done,JoaquimGCVS
Lab01S01,2026-08-14,2,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/2,Configurar estrutura inicial do projeto,Done,JoaquimGCVS
Lab01S01,2026-08-14,9,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/9,"Validar dados das RQ05, RQ06",Done,VitorCostaVianna
Lab01S01,2026-08-14,3,https://github.com/lab-medicao-experimentacao/lab01-repositorios-populares/issues/3,Implementar coleta das métricas RQ01 e RQ02,Done,JoaquimGCVS
